ID,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
77290003,Shell,4899563.6952778,264910.95556006,77290,AERODROME DE MITRY,COMPANS,R
77300001,TotalEnergies,4841700,270800,77300,44 Boulevard du Maréchal Foch,Fontainebleau,R
77300005,BP,4840800,268800,77300,CARREFOUR DE LA LIBERATION,Fontainebleau,R
77310006,BP,4853200,253500,77310,"Lotissement des Bordes, RN 7",Saint-Fargeau-Ponthierry,R
77310009,TotalEnergies Access,4854082.7353741,252209.39606196,77310,RN 7,ST FARGEAU PONTHIERRY,R
77320002,Intermarché,4878355,330653,77320,Avenue du Général Leclerc,LA FERTé-GAUCHER,R
77320003,Système U,4878300,329500,77320,Avenue de la Maison-Blanche,LA FERTé-GAUCHER,R
77330002,Avia,4877300,267600,77330,2 Avenue Édouard Gourdon,Ozoir-la-Ferrière,R
77330003,E.Leclerc,4875700,270000,77330,84 Rue François de Tessan,OZOIR-LA-FERRIèRE,R
77330004,TotalEnergies,4876694.3966836,265112.55845881,77330,RN4 LIEUDIT L ERABLE,Ozoir-la-Ferrière,R
77340003,E.Leclerc,4877680,259631,77340,Route de Paris,Pontault-Combault,R
77340005,TotalEnergies,4879300,261900,77340,CHEMIN DÉPARTEMENTAL 51 - RUE DES BERCHÈRES,Pontault-Combault,R
77340006,TotalEnergies Access,4879836,260505,77340,6 A 10 AV CHARLES ROUXEL,Pontault-Combault,R
77340007,TotalEnergies Access,4881600,262300,77340,N104 LA FRANCILIENNE - AIRE PRE DE L'AULNES ET DE LA GDE MAR,PONTAULT COMBAULT,R
77346001,Carrefour,4877600,260500,77340,RN 4 77346 Pontault-Combault,PONTAULT-COMBAULT,R
77350004,Intermarché,4854000,261200,77350,Avenue Jean Monnet,BOISSISE-LA-BERTRAND,R
77350005,TotalEnergies Access,4854301.39632,263315.746474,77350,AV MAURICE DAUVERGNE,LE MEE SUR SEINE,R
77360001,Carrefour Market,4887400,264100,77360,Place du Général de Gaulle,VAIRES-SUR-MARNE,R
77370001,Carrefour Market,4855809.4704,302534.519556,77370,Avenue de Verdun,NANGIS,R
77370003,Intermarché,4855000,300000,77370,Route de Fontainebleau,Nangis,R
77370005,TotalEnergies Access,4855900,302100,77370,"RN 19 , AVENUE DU GENERAL DE GAU",NANGIS,R
77380001,Intermarché,4864900,256300,77380,Rue Charles FABRY,COMBS-LA-VILLE,R
77390003,Carrefour Market,4863502,279900,77390,L OREE DE GUIGNES,GUIGNES,R
77390005,TotalEnergies Access,4863596.2863929,278111.96141947,77390,RD 619,Yèbles,R
77400007,Intermarché,4886900,267500,77400,Avenue de la Courtillière,SAINT-THIBAULT-DES-VIGNES,R
77400008,Intermarché,4889600,271600,77400,17 allée des rousselets Zac des vallières,THORIGNY-SUR-MARNE,R
