id,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
85120002,avia,46.64,-0.754,85120,Z.I. de la Levraudière,ANTIGNY,R
85120004,intermarche,46.649,-0.737,85120,7 Rue de la Chapelle,La Châtaigneraie,R
85120005,intermarche,46.65,-0.753,85120,7 RUE DE LA GARENNE,LA CHATAIGNERAIE,R
85150003,avia,46.59013,-1.64761,85150,ZA SUD,LA CHAPELLE-ACHARD,R
85160006,intermarche,46.795677436793994,-2.0494800138474,85160,Rue de la Rivière,Saint-Jean-de-Monts,R
85170003,avia,46.787,-1.435,85170,Route de Nantes,BELLEVIGNY,R
85170005,esso,46.801,-1.431,85170,1 RUE DE L'EPINE,BELLEVIGNY,R
85170006,e.leclerc,46.763609925096,-1.4943400976377001,85170,48 BD DES DEUX MOULINS,Le Poiré-sur-Vie,R
85180003,intermarche,46.493435883151,-1.7499769986749,85180,Rue des Plesses,CHâTEAU-D'OLONNE,R
85190003,avia,46.791461,-1.7072729999999998,85190,BEL AIR,Maché,R
85190004,intermarche,46.737,-1.611,85190,7 ROUTE DE SAINT-GILLES,AIZENAY,R
85200004,elan,46.459,-0.788,85200,26 bd du Bas Poitou,Fontenay-le-Comte,R
85202001,e.leclerc,46.465016660479,-0.8227058236,85200,Avenue du Général de Gaulle,FONTENAY-LE-COMTE,R
85210007,avia,46.573350482882,-1.1168592076897998,85210,A 83 AIRE DE LA VENDEE,Sainte-Hermine,A
85230003,intermarche,46.91,-2.03,85230,39 Rue de la Roche,BEAUVOIR-SUR-MER,R
85300002,e.leclerc,46.853112213325,-1.8958984113336,85300,Route de Noirmoutier,CHALLANS,R
85300003,esso,46.848,-1.872,85300,ROND POINT DE CHOLET,CHALLANS,R
85300004,intermarche,46.843,-1.887,85300,Rue St François,Challans,R
85300005,esso,46.848,-1.877,85300,ROUTE DE CHOLET,Challans,R
85310001,avia,46.669,-1.287,85310,31 RUE DU MOULIN ROUGE,LA CHAIZE-LE-VICOMTE,R
