,id,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
1169,13410003,carrefour,43.648659756223,5.2650692344712,13410,2 avenue leo lagrange,LAMBESC,R
1180,13463001,carrefour,43.362,5.349,13015,Centre Commercial Grand Littoral - ZAC Saint-André,MARSEILLE,R
1192,13530001,carrefour,43.452,5.681,13530,Z.a.c. de la Burlière,TRETS,R
1195,13545001,carrefour,43.506,5.399,13546,1175 Rue Guillaume du Vair,AIX-EN-PROVENCE,R
1208,13600005,carrefour,43.188,5.602,13600,chemin du puits de brunet,LA CIOTAT,R
1231,13680010,carrefour,43.58718349829,5.1392947716414,13680,"1 AV DE LA 1ERE ARMEE FRANCAISE, CARREFOUR CONTACT",LANCON-PROVENCE,R
1247,13741001,carrefour,43.433,5.259,13127,R.N. 113,VITROLLES,R
1257,13780007,carrefour,43.275638736124996,5.7160652979117,13780,27 CHEMIN DE LA CURASSE,Cuges-les-Pins,R
1273,13920004,carrefour,43.4394725,5.0353807,13920,RUE DES ROSEAUX,Saint-Mitre-les-Remparts,R
1285,14053001,carrefour,49.21,-0.366,14000,1 Boulevard Maréchal Juin,CAEN,R
1294,14112001,carrefour,49.241,-0.327,14112,2 RUE DES ECOLES,BIEVILLE-BEUVILLE,R
1303,14123010,carrefour,49.15769717388,-0.32601015714723,14123,2 RUE DE L'INDUSTRIE,Cormelles-le-Royal,R
1304,14125001,carrefour,49.163,-0.298,14120,3 Rue Ambroise Croizat,Mondeville,R
1322,14204001,carrefour,49.205,-0.328,14200,CC Hérouville Saint Clair BP 135,HéROUVILLE-SAINT-CLAIR,R
1326,14230003,carrefour,49.3186292,-1.1008957000000001,14230,Place de l'hôtel de ville,Isigny-sur-Mer,R
1328,14250002,carrefour,49.17918,-0.62255,14250,1 COUR PERON,Tilly-sur-Seulles,R
1330,14270001,carrefour,49.073,-0.074,14270,AV JEAN JAURES,Mézidon-Canon,R
1333,14290001,carrefour,49.024,0.413,14290,RTE DE BERNAY,ORBEC,R
1336,14310003,carrefour,49.08,-0.648,14310,RUE GEORGES CLEMENCEAU,VILLERS-BOCAGE,R
1339,14320003,carrefour,49.114,-0.374,14320,RN 162,SAINT-MARTIN-DE-FONTENAY,R
1343,14380001,carrefour,48.84,-1.052,14380,40 Rue du Docteur Fontaine,SAINT-SEVER-CALVADOS,R
1346,14390001,carrefour,49.28814,-0.12678,14390,RD 400,CABOURG,R
1349,14400009,carrefour,49.288,-0.704,14400,CTRE CIAL EINDHOVEN RTE DE VAUX/AURE,Bayeux,R
1353,14410002,carrefour,48.84251,-0.71187,14410,Lieu-dit La Barbairie,Vassy,R
1354,14420001,carrefour,48.96993,-0.24188024000000002,14420,Lieu-dit La Glacière,POTIGNY,R
1355,14420002,carrefour,48.9719687,-0.24749459999999998,14420,lieux dit la glacière,Potigny,R
1359,14450001,carrefour,49.385,-1.05,14450,Avenue Emile DAMECOUR,GRANDCAMP-MAISY,R
1362,14470002,carrefour,49.323,-0.452,14470,Route Anglaise,COURSEULLES-SUR-MER,R
1363,14480001,carrefour,49.28,-0.535,14480,1 rue du grand clos,Creully sur seulles,R
1365,14500003,carrefour,48.847,-0.887,14500,PARC COMMERCIAL DE LA DOUITEE,VIRE,R
1367,14500008,carrefour,48.8467,-0.88722,14500, Rue Colbert,VIRE,R
1373,14540001,carrefour,49.1401163603,-0.300508505075,14540,route de Caen,SOLIERS,R
1381,14680001,carrefour,49.04543,-0.3238,14680,VARENDES,BRETTEVILLE-SUR-LAIZE,R
1382,14700001,carrefour,48.8962986744,-0.192409332928,14700,33 RUE GEORGES CLEMENCEAU,FALAISE,R
1391,14780002,carrefour,49.30174,-0.31818,14780, Boulevard Paul Doumer,LION-SUR-MER,R
1394,14800006,carrefour,49.347,0.095,14800,Route Nationale,TOUQUES,R
1400,14960001,carrefour,49.339,-0.58,14960,15 AVENUE MAURICE SCHUMANN,Asnelles,R
1412,15000017,carrefour,44.929,2.438,15000,ZAC de la Sablière,Aurillac,R
1417,15100005,carrefour,45.038,3.065,15100,Route d'Aurillac,SAINT-FLOUR,R
1436,15250004,carrefour,44.99661,2.42166,15250, Avenue de la Plaine,JUSSAC,R
1437,15250006,carrefour,44.94448371,2.31132819,15250,1 route de brive,Saint-Paul-des-Landes,R
1446,15400003,carrefour,45.288,2.669,15400,zi du Sedour,Riom-Ès-Montagnes,R
1450,15500007,carrefour,45.254,3.197,15500,63 AVENUE GENERAL DE GAULLE,MASSIAC,R
1475,16120004,carrefour,45.6,-0.055,16120,PLACE DE LA GARE - 3 BLD GAMBETTA,Châteauneuf-sur-Charente,R
1477,16140002,carrefour,45.899920641752,0.014846175679999999,16140,2 Clos Chabot,Villejésus,R
1490,16250001,carrefour,45.47271338,0.048103320000000005,16250,AUX NAULETS PEREUIL,Blanzac-Porcheresse,R
1502,16350001,carrefour,45.989,0.407,16350,RUE sapin vert,CHAMPAGNE-MOUTON,R
1522,16800001,carrefour,45.639,0.219,16800,ave du general de gaulle,SOYAUX,R
1549,17138008,carrefour,46.206,-1.095,17138,43 rue des sports,Saint-Xandre,R
1550,17138009,carrefour,46.206,-1.094,17138,43 RUE DES SPORTS,Saint-Xandre,R
1558,17170003,carrefour,46.2265632575,-0.8715297856259999,17170,AV DE LA JUILLERIE,Ferrières,R
1576,17250002,carrefour,45.83,-0.877,17250,29 Rue Claire Pertus,PONT-L'ABBE-D'ARNOULT,R
1608,17440003,carrefour,46.1386,-1.13925,17440,Rue Nicolas Gargot,AYTRé,R
1614,17520001,carrefour,45.528,-0.304,17520,ZA du Tonneau,Archiac,R
1617,17530003,carrefour,45.742,-1.121,17530,17 avenue de la presqu'ile,ARVERT,R
1621,17580002,carrefour,46.177710860263,-1.3721589695779002,17580,6083 route de Sainte Marie,Le-Bois-Plage-En-Ré,R
1632,17690001,carrefour,46.111,-1.103,17690,Route de Rochefort,ANGOULINS,R
1640,17770002,carrefour,45.77508103751399,-0.42216137321515,17770,20 BD GOULEBENEZE,Burie,R
1646,18000001,carrefour,47.103,2.41,18000,AVENUE DE LATTRE DE TASSIGNY,BOURGES,R
1647,18000002,carrefour,47.093,2.428,18000,CHAUSSE DE CHAPPE,BOURGES,R
1648,18000004,carrefour,47.07082,2.37747,18000,110 Avenue Marcel Haegelen,BOURGES,R
1650,18000014,carrefour,47.067,2.416,18000,114 Avenue de Dun-sur-Auron,Bourges,R
1660,18100015,carrefour,47.221473011548,2.0652897018218,18100,11 rue du 11 novembre,VIERZON,R
1661,18100016,carrefour,47.222,2.069,18100,7 rue Etienne Dolet,Vierzon,R
